2.1316e-14,13.029
0.24684,31.406
1.8471,49.692
5.9254,67.538
12.176,84.612
22.045,100.06
34.026,113.6
48.352,124.63
65.755,128
83.134,124.5
97.558,113.49
109.99,100.21
119.54,84.754
124.24,67.161
126.37,49.029
127.55,30.743
128,12.575
9.328,5.6849
17.59,0.20776
28.038,0
38.376,1.8005
47.697,6.6368
76.749,7.2763
86.126,2.7985
96.371,0.9541
106.69,2.0332
115.76,6.2435
62.696,19.135
62.849,28.715
62.9,38.24
62.838,47.751
46.033,60.803
54.288,62.654
62.651,63.375
70.445,62.528
77.988,60.733
22.017,19.82
28.979,15.529
37.156,15.533
43.638,20.266
36.438,22.422
28.976,22.084
81.584,21.218
87.546,16.174
95.398,15.821
101.87,20.064
95.459,22.838
88.413,22.741
38.983,83.967
45.279,77.071
54.087,73.643
63.208,75.645
72.317,73.645
81.166,76.586
87.848,82.925
81.893,89.742
73.746,94.067
64.452,95.77
54.562,94.648
45.946,90.414
46.622,83.545
54.691,80.014
63.725,80.283
73.334,79.699
82.163,82.747
73.617,85.453
64.002,86.712
54.826,85.826
