0.29282,22.204
7.1054e-15,40.118
1.4261,57.805
3.8363,75.314
10.35,91.793
20.077,106.42
33.834,117.14
49.335,125.35
66.269,128
82.302,123.6
96.322,114.63
108.72,103.37
118.31,89.523
124.39,73.704
126.03,56.855
127.62,40.014
128,23.133
6.2941,13.6
14.464,4.8506
25.714,1.031
37.577,1.6175
49.4,2.79
79.083,2.2138
88.945,0.28213
98.99,-1.4211e-14
108.62,2.439
117.45,7.2425
66.163,18.338
66.254,29.534
66.349,40.574
66.339,51.679
45.945,61.917
55.784,62.908
65.649,62.932
74.484,62.675
83.096,61.439
23.82,21.767
32.514,16.79
42.374,18.826
49.521,25.959
40.904,24.577
32.129,24.191
78.904,26.625
86.519,19.265
96.821,17.518
105.81,22.623
97.02,25.235
87.937,25.754
34.845,80.5
45.156,76.881
55.243,71.78
66.097,73.414
76.48,71.943
86.107,75.965
95.707,79.101
89.48,90.762
78.21,97.372
65.222,98.456
52.109,97.231
40.113,92.206
42.555,83.876
50.261,80.036
65.535,79.574
80.591,79.717
88.151,83.365
81.674,87.022
65.097,89.598
48.568,87.708
